Nom,Total_Matches,Total_Wins,Win_Rate
Abe_Sakichi,19,14,0.7368421052631579
Abu_Alhaija_Kareem,3,0,0.0
Abu_Wahib_Jonas,6,0,0.0
Adi_David,1,0,0.0
Afsaneh_Mahsa,8,3,0.375
Agostini_Luis,6,4,0.6666666666666666
Alandujani_Jouri,1,0,0.0
Alberte_Ananda,3,1,0.3333333333333333
Alcaraz_Carrion_Irene_Yao,10,7,0.7
Alforte_Sakura,13,8,0.6153846153846154
Allam_Asmaa,5,2,0.4
Almosawi_Sayed_Mohammed,11,4,0.36363636363636365
Almosawi_Sayed_Salman,15,7,0.4666666666666667
Alzaid_Manal,1,0,0.0
Amato_Carolina,14,5,0.35714285714285715
Amaya_Gomez_Hernan,1,0,0.0
Andrei_Nedelcu,5,3,0.6
Armada_Ruiz_Andrea,11,3,0.2727272727272727
Arnone_Federico,2,1,0.5
Arslan_Sule_Zeynep,3,2,0.6666666666666666
Azuma_Saeko,23,18,0.782608695652174
Banerjee_Arka,3,2,0.6666666666666666
Bardos_Adam,15,4,0.26666666666666666
Barta_Roland_Botond,2,0,0.0
Beckers_Mitchell,6,4,0.6666666666666666
Begot_Benoit,1,0,0.0
Benmekhlouf_Saber,3,0,0.0
Berezovscaia_Elena,1,1,1.0
Berger_Jona,2,0,0.0
Berlingerio_Jacopo_Bruno,2,1,0.5
Berner_Laurenz,3,1,0.3333333333333333
Bervely_Mathew_Scott,1,0,0.0
Bilbao_Perez_Naia,1,1,1.0
Binotto_Pietro,4,2,0.5
Blaser_Elena,2,1,0.5
Borovcanin_Isidora,2,0,0.0
Boskov_Aleksandar,3,1,0.3333333333333333
Bozan_Dilara,16,12,0.75
Bruno_Francesca_Maria,2,1,0.5
Bui_Mai_Linh,2,1,0.5
Bui_Marie,2,1,0.5
Buisson_Matteo,1,0,0.0
Busato_Mattia,8,4,0.5
Bustamante_Alfredo,1,0,0.0
Camara_Juan,2,1,0.5
Cao_Calvo_Pablo,1,0,0.0
Carbonell_Lopez_Jose_Manuel,4,2,0.5
Cardoso_Leticia_De_Souza,1,0,0.0
Caridade_Maisa,4,2,0.5
Casale_Carol,17,11,0.6470588235294118
Casanova_Guerrero_Cleiver,10,5,0.5
Castroviejo_Marcus_Vinicius,2,1,0.5
Chaffort_Lucas,3,1,0.3333333333333333
Charalambides_Stavros_Alexandros,2,1,0.5
Chianchi_Martina,1,0,0.0
Chinen_Rey,13,10,0.7692307692307693
Clow_Amelia,2,0,0.0
Codes_Julien,1,0,0.0
Colak_Keyda_Nur,9,5,0.5555555555555556
Comanescu_Petru,8,1,0.125
Cosci_Giuseppe,2,1,0.5
Costa_Diogo,2,1,0.5
Crowther_Nathan,1,0,0.0
Cruz_Ana,14,4,0.2857142857142857
Da_Rocha_Ferreira_Jessica_Adreina,1,0,0.0
Dagnino_Serena,3,1,0.3333333333333333
De_Gregorio_Gabriella,2,0,0.0
Del_Valle_Catala_Francesco,4,2,0.5
Di_Rubba_Luigi,1,0,0.0
Diana_Bianca,4,1,0.25
Diop_Omar,4,0,0.0
Dominici_Roberta,2,0,0.0
Donofrio_Orsola,1,0,0.0
Donofrio_Terryana,14,7,0.5
Duchaine_Gregoire,1,0,0.0
Duran_Kutluhan,6,2,0.3333333333333333
Ederar_Miriam,5,3,0.6
El_Mansoury_Salah_Eddine,3,0,0.0
Elezaby_Mariam,3,2,0.6666666666666666
Elhabashy_Adam,1,0,0.0
Elsayed_Nadia,3,2,0.6666666666666666
EnNesry_Aya,12,5,0.4166666666666667
Escudero_Solis_Nuria,3,2,0.6666666666666666
Espadas_Herrera_Xavier,1,0,0.0
Evsan_Esma_Sila,3,2,0.6666666666666666
Fabian_Csenge_Zita,2,0,0.0
Fareid_Amgad,1,0,0.0
Faroupou_Angeliki,1,0,0.0
Faul_Annika,2,0,0.0
Fedorov_Yaroslav,5,0,0.0
Feracci_Alexandra,16,7,0.4375
Feracci_Laetitia,1,0,0.0
Fernandes_David,3,1,0.3333333333333333
Fernandes_Natasha,9,8,0.8888888888888888
Fernandez_Peris_Santiago,1,0,0.0
Forster_Vincent,3,2,0.6666666666666666
Fridriksdottir_Eydis_Magnea,1,0,0.0
Frygoudaki_Maria,1,0,0.0
Funada_Aoi,9,7,0.7777777777777778
Fuscagni_Alex,2,1,0.5
Gaglio_Andre,2,1,0.5
Galan_Lopez_Sergio,1,0,0.0
Galeotti_Thomas,1,0,0.0
Gallo_Gianluca,10,4,0.4
Gamova_Natasa,5,3,0.6
Gannon_David,1,0,0.0
Garcia_Eduardo,1,0,0.0
Garcia_Lozano_Paola,7,4,0.5714285714285714
Gawel_Eliza,2,1,0.5
Ghaly_Karim,3,0,0.0
Ghinami_Alessio,13,8,0.6153846153846154
Giannaki_Foteini,1,0,0.0
Giannoukos_Nikolaos,1,0,0.0
Giovagnoni_Gioele,1,0,0.0
Giuliani_Alessio,2,0,0.0
Goda_Lopez_Marcos,2,1,0.5
Grazia_Manuel,12,5,0.4166666666666667
Grgic_Inga,2,0,0.0
Grimm_Lukas,4,2,0.5
Gruitia_Matthew,2,0,0.0
Guerrini_Maurizio,1,0,0.0
Hadizadeh_Julian,2,0,0.0
Hara_Gabriel,1,0,0.0
Harrison_James,13,6,0.46153846153846156
Hearn_Nat,6,4,0.6666666666666666
Hebbel_Patricia,2,0,0.0
Heijmens_Visser_Daan,3,1,0.3333333333333333
Henrysson_Thordur_Jokull,1,0,0.0
Hesham_Aya,5,3,0.6
Heydarov_Roman,2,0,0.0
Hisami_Nakaji,9,6,0.6666666666666666
Hoffman_Lucas,5,4,0.8
Hoffman_Molinas_Alexandre_Jordi,6,5,0.8333333333333334
Hrcka_Roman,9,0,0.0
Huerta_Hernandez_Rocio,1,0,0.0
Hung_Ho_Wai_Howard,12,6,0.5
Hussain_Mohammad,9,5,0.5555555555555556
Hypolito_Naomi,1,0,0.0
Ikeda_Ryusei,24,20,0.8333333333333334
Iodice_Alessandro,16,10,0.625
Iwaszkiewicz_Piotr,1,0,0.0
Iwatani_Azuki,1,0,0.0
Jakovljevic_Vasilije,1,0,0.0
Jamal_Hadiseh,2,1,0.5
Jasarspahic_Miralem,3,1,0.3333333333333333
Jay_Shirley,12,0,0.0
Jelen_Nika,3,2,0.6666666666666666
Juergensmann_Natalie,1,0,0.0
Juettner_Jasmin,12,3,0.25
Karayiannidou_Nayia,1,0,0.0
Karlsson_Mia,1,0,0.0
Kashfirad_Kiyan,1,0,0.0
Kaya_Zehra,2,1,0.5
Kaynar_Furkan,2,1,0.5
Keskiivari_Mari,1,0,0.0
Khamis_Jana,6,3,0.5
Kikuchi_Ryonosuke,15,8,0.5333333333333333
Kimura_Dyun,6,0,0.0
Kirschnerova_Alice_Jana,1,0,0.0
Kitaguchi_Kao,13,11,0.8461538461538461
Koestenbaumer_Hannes,1,0,0.0
Kokumai_Sakura,12,8,0.6666666666666666
Koumasis_Charalampos,1,0,0.0
Koursaris_Dimitrios_Christos,2,0,0.0
Kowalczyk_Maciej,3,0,0.0
Kowalska_Anna,2,0,0.0
Kylmanen_Jenna,1,0,0.0
Kypriotis_Evangelos,1,0,0.0
Lamego_Andre,1,0,0.0
Lamoum_Tijani,3,1,0.3333333333333333
Laos_Loo_Claudia,6,1,0.16666666666666666
Lau_Mo_Sheung_Grace,21,18,0.8571428571428571
Lekakou_Marina,1,0,0.0
Lena_Devid,1,0,0.0
Leong_Wai_Yee_Shannon,1,0,0.0
Levi_Eldar,3,1,0.3333333333333333
Li_Chi_Kong,1,0,0.0
Lo_Sum_Man,12,4,0.3333333333333333
Lopez_Pintado_Maria,11,7,0.6363636363636364
Lueck_Aidan_Randall,5,4,0.8
Ma_Ka_Man,1,0,0.0
Machetti_Irene,2,1,0.5
Machida_Yasuhiro,20,16,0.8
Malafova_Natalie,1,0,0.0
Manca_Chiara,15,7,0.4666666666666667
Mangano_Luca,2,1,0.5
Manty_Bess,2,1,0.5
Marcelli_Anna,1,0,0.0
Marchetti_Giulia,4,2,0.5
Mariana_Semblano,5,0,0.0
Mark_Melinda,1,0,0.0
Markesinis_Lamprinos_Marios,2,1,0.5
Marsden_Harry,1,0,0.0
Martin_Romero_Raul,6,3,0.5
Martinez_Jimenez_Ruben,3,2,0.6666666666666666
Marttila_Noora,1,0,0.0
Masar_Vit,3,1,0.3333333333333333
Matacchioni_Luigi,6,4,0.6666666666666666
Mathes_Mika,5,4,0.8
Matuski_Georgi,3,2,0.6666666666666666
Mazzarello_Andrea,2,1,0.5
Mcdade_Chad,2,0,0.0
Membo_Kirils,1,0,0.0
Mendinhos_Antonio,2,1,0.5
Mero_Balint,2,1,0.5
Mijac_Vladimir,1,0,0.0
Minano_Lanyfer,4,2,0.5
Miranda_Mario,2,1,0.5
Mischler_Kevin,1,0,0.0
Mishima_Kiri,27,25,0.9259259259259259
Miskova_Veronika,9,2,0.2222222222222222
Moen_Maria_Manum,2,0,0.0
Montarello_Enzo,6,3,0.5
Morales_Ozuna_Gema,16,9,0.5625
Moreira_Silvio,1,0,0.0
MorenoDomont_Matias,2,0,0.0
Morim_Afonso,1,0,0.0
Morley_George,2,0,0.0
Moscatelli_Samuele,3,1,0.3333333333333333
Moto_Kazumasa,19,14,0.7368421052631579
Moto_Ryuji,21,15,0.7142857142857143
Mousa_Habiba,3,2,0.6666666666666666
Moysidou_Antonia,1,0,0.0
Mrazova_Rebeca,1,0,0.0
Muzurovic_Ilda,2,0,0.0
Nagy_Botond,13,6,0.46153846153846156
Najeeb_Ahmed,1,0,0.0
Ngoan_Franck,9,3,0.3333333333333333
Niedziela_Wojciech,1,0,0.0
Nikolic_Mina,2,1,0.5
Nishiyama_Kakeru,22,22,1.0
Noel_Arthur,5,3,0.6
Ohuchi_Mirisa,19,15,0.7894736842105263
Ono_Maho,24,22,0.9166666666666666
Orbe_Cristina,2,1,0.5
Ortiz_Aquino_Jeffersont,6,2,0.3333333333333333
Oshiguchi_Syota,4,3,0.75
Otsuki_Eiji,5,3,0.6
Ozdemir_Enes,16,12,0.75
Pagot_Alexander,2,0,0.0
Panagia_Giuseppe,8,4,0.5
Paoletti_Ilaria,1,0,0.0
Papaphilippou_Constantina,1,0,0.0
Pappalardo_Vincenzo,1,0,0.0
Parra_Ramirez_Mario,3,2,0.6666666666666666
Pascual_Aria,2,0,0.0
Pattanasakoo_Nawapon,3,1,0.3333333333333333
Pelit_Damla,1,0,0.0
Perez_De_Abreu_Ricardo,3,1,0.3333333333333333
Petrillo_Daniele,4,2,0.5
Petrone_Leandro,1,0,0.0
Piccioni_Edoardo,5,4,0.8
Pieri_Laura,3,1,0.3333333333333333
Pinheiro_Alexandre,1,0,0.0
Pires_Neto_Arthur,2,1,0.5
Pohl_Filip,2,1,0.5
Poisson_Hugo,3,2,0.6666666666666666
Polsinelli_Guido,8,3,0.375
Portal_Beatriz,1,0,0.0
Preda_Luca,2,1,0.5
Pronk_Suzelle,3,1,0.3333333333333333
Putri_Aprilia_Krisda,8,3,0.375
Ques_Garcia_Miquel,1,0,0.0
Quintero_Capdevila_Damian_Hugo,3,2,0.6666666666666666
Quiroz_Castillo_Yaneth,2,1,0.5
Raguz_Ivana,2,1,0.5
Relic_Matija,3,2,0.6666666666666666
Riestra_Calomarde_Carla,2,1,0.5
Rigoni_Clelia,1,0,0.0
Rizzo_Michela,2,1,0.5
Roversi_Elena,4,3,0.75
Roy_Rubio_Raquel,13,11,0.8461538461538461
Rubio_Perez_Cristina,2,1,0.5
Rubio_Perez_Ivan,1,0,0.0
Rustamjonova_Mukhlisakhon,1,0,0.0
Sabova_Dominika,2,1,0.5
Sacristani_Franco,2,0,0.0
Sadeghi_Dastak_Fatemeh,3,1,0.3333333333333333
Salkic_Almin,1,0,0.0
Salvati_Erica,4,2,0.5
San_Francisco_Jerez_Maria,1,0,0.0
Sanchez_Gonzalez_Naiara,1,0,0.0
Santoni_Nils,1,0,0.0
Sato_Yuki,9,7,0.7777777777777778
Savoy_Medero_Sabrina,1,0,0.0
Schedel_Keni,1,0,0.0
Sekkour_Salah_Eddine,3,1,0.3333333333333333
Serra_Cristian,6,4,0.6666666666666666
Severan_Lea,7,5,0.7142857142857143
Shimizu_Natsuki,15,10,0.6666666666666666
Siebert_Rita,5,3,0.6
Sigalova_Vladlena,3,2,0.6666666666666666
Simak_Pal_Daniel,1,0,0.0
Sinha_Suromita,2,1,0.5
Sluga_Jure,3,1,0.3333333333333333
Sobaleva_Stafaniya,1,0,0.0
Sofuoglu_Ali,17,13,0.7647058823529411
Sonnema_Rick,4,2,0.5
Stassiaux_Mahel,3,1,0.3333333333333333
Statelli_Maria_Eleni,1,0,0.0
Stevens_Julie,2,1,0.5
Stojakovic_George,1,0,0.0
Stossel_Anna,2,0,0.0
Stowell_Mason,3,2,0.6666666666666666
Straub_Fabian,5,3,0.6
Subota_Uros,5,3,0.6
Sukal_Vojtech,2,1,0.5
Suter_Anina,2,1,0.5
Tagliafierro_Chiara,3,1,0.3333333333333333
Taily_Helvetia,12,5,0.4166666666666667
Tamborlani_Matteo,2,1,0.5
Tang_Yu_Hin,4,3,0.75
Tardio_Royo_Mario,3,2,0.6666666666666666
Tas_Yanis,2,0,0.0
Tatar_Parla_Doaa,3,1,0.3333333333333333
Tavares_Christian,1,0,0.0
Tejada_Andres,3,2,0.6666666666666666
Thiboutot_Heloise,2,0,0.0
Tiukh_Mykyta,1,0,0.0
Torres_Gutierrez_Ariel,20,16,0.8
Torres_Rebecca_Cyril,2,1,0.5
Tozaki_Gakuji,9,6,0.6666666666666666
Tozaki_Taishi,10,6,0.6
Trahan_Perreault_Daphne,1,0,0.0
Tran_Fabien,2,1,0.5
Tran_William,6,4,0.6666666666666666
Traves_Dylan,2,0,0.0
Tsagkera_Sofia,1,0,0.0
Tsiakmaki_Athina,9,2,0.2222222222222222
Tsiakmakis_Fotios,2,0,0.0
Tung_Yee_Yin,13,6,0.46153846153846156
Turakulova_Durdona,1,0,0.0
Turdiboeva_Nilufar,1,0,0.0
Turemen_Damla_Su,6,3,0.5
Turner_Nicole,4,0,0.0
Ujihara_Yuki,11,1,0.09090909090909091
Valentina_Valena,3,2,0.6666666666666666
Van_Rest_Merah,1,0,0.0
Vanusanikova_Jana,6,0,0.0
Veladzic_Senaid,5,3,0.6
Venes_Afonso,3,1,0.3333333333333333
Verdone_Melissa,1,0,0.0
Villano_Cristian,5,3,0.6
Vlai_Jessica,3,1,0.3333333333333333
Vu_Anthony,14,9,0.6428571428571429
Wahjudi_Soraya,2,0,0.0
Williams_Danni,8,3,0.375
Williams_Jody,1,0,0.0
Williams_Jordanna,4,2,0.5
Wilson_Jack,7,5,0.7142857142857143
Witbooi_Ethan,1,0,0.0
Wong_Sze_Man,15,5,0.3333333333333333
Xenou_Georgia_Archontia,11,7,0.6363636363636364
Yamada_Nodoka,5,2,0.4
Yilmaz_Ayse,4,3,0.75
Yuen_Shaun,1,0,0.0
Zamorano_Merino_Sergio,2,1,0.5
Zapata_Machado_Valentina,4,3,0.75
Zaporozhchenko_Halyna,2,0,0.0
Zaresta_Yuda_Ahmad_Zigi,3,0,0.0
Zelante_Nunzio,1,0,0.0
