Nation,Total_Matches_Nation,Total_Wins_Nation,Nation_Win_Rate
ALG,6,1,0.16666666666666666
AND,1,0,0.0
ATR,1,0,0.0
AUS,4,2,0.5
AZE,2,0,0.0
BEL,15,7,0.4666666666666667
BOS,12,4,0.3333333333333333
BRA,16,2,0.125
BUL,3,2,0.6666666666666666
CAN,11,1,0.09090909090909091
COL,5,3,0.6
CRO,10,5,0.5
CYP,4,1,0.25
CZE,22,7,0.3181818181818182
ECU,5,3,0.6
EGY,30,14,0.4666666666666667
ENG,52,20,0.38461538461538464
ESP,111,65,0.5855855855855856
FIN,5,1,0.2
FRA,82,37,0.45121951219512196
GER,74,20,0.2702702702702703
GRE,41,14,0.34146341463414637
HKG,79,42,0.5316455696202531
HUN,35,11,0.3142857142857143
ICE,1,0,0.0
INA,11,3,0.2727272727272727
IND,8,5,0.625
IRA,1,0,0.0
IRE,1,0,0.0
IRI,13,5,0.38461538461538464
IRQ,1,0,0.0
ISL,1,0,0.0
ISR,3,1,0.3333333333333333
ITA,220,104,0.4727272727272727
JOR,3,0,0.0
JPN,303,238,0.7854785478547854
KAZ,3,2,0.6666666666666666
KSA,2,0,0.0
KUW,35,16,0.45714285714285713
LAT,1,0,0.0
LUX,3,1,0.3333333333333333
MAR,18,6,0.3333333333333333
MEX,2,1,0.5
MOL,1,1,1.0
MON,1,0,0.0
NAM,3,1,0.3333333333333333
NED,16,7,0.4375
NOR,2,0,0.0
PHI,15,9,0.6
POL,10,1,0.1
POR,50,20,0.4
ROM,5,3,0.6
ROU,10,2,0.2
RSA,2,0,0.0
SCO,2,0,0.0
SEN,4,0,0.0
SER,11,5,0.45454545454545453
SIN,1,0,0.0
SLO,4,1,0.25
SUI,26,5,0.19230769230769232
SVK,21,3,0.14285714285714285
SWE,23,13,0.5652173913043478
TUR,85,56,0.6588235294117647
UKR,8,0,0.0
USA,71,48,0.676056338028169
UZB,3,0,0.0
VEN,40,16,0.4
